flesch_reading_ease,smog_index,flesch_kincaid_grade,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,text_standard,mean_parse_tree_depth,max_parse_tree_depth,mean_ents_per_sentence,total_ents,total_chars,total_words,chars_per_word,total_sentences,words_per_sentence,nonstop_word_count,nonstop_char_count,nonstop_token_proportion,not_dale_chall_count,syllable_count,polysyllable_count,nonspace_char_count,adj,adp,adv,aux,conj,cconj,det,intj,noun,num,part,pron,propn,punct,sconj,sym,verb,x,space,mean_adj,mean_adp,mean_adv,mean_aux,mean_conj,mean_cconj,mean_det,mean_intj,mean_noun,mean_num,mean_part,mean_pron,mean_propn,mean_punct,mean_sconj,mean_sym,mean_verb,mean_x,mean_space
42.18,15.6,16.6,11.44,20.2,9.39,46,20.333333333333332,19.83,20.0,1.4532019704433496,14,1.4,7,1105,186,5.940860215053763,5,37.2,1.4126984126984128,10.126984126984127,0.4362745098039216,53,264,18,920,15,25,7,16,0,9,30,0,29,1,5,11,11,17,2,0,26,0,0,2.5,4.17,1.17,2.67,0.0,1.5,5.0,0.0,4.83,0.17,0.83,1.83,1.83,2.0,0.33,0.0,4.33,0.0,0.67
70.13,11.2,8.0,7.13,7.9,6.87,24,9.0,10.16,8.0,1.3210526315789475,10,1.1111111111111112,10,873,159,5.490566037735849,9,17.666666666666668,1.509433962264151,9.641509433962264,0.4419889502762431,31,209,10,715,13,22,6,14,0,9,26,0,27,3,4,10,13,27,4,0,13,0,1,1.3,2.2,0.6,1.4,0.0,0.9,2.6,0.0,2.7,0.3,0.4,1.0,1.3,1.8,0.4,0.0,1.3,0.0,0.8
69.15,12.0,10.4,9.58,14.0,7.64,32,14.0,13.43,14.0,1.5924170616113744,10,0.2857142857142857,2,1084,189,5.735449735449736,7,27.0,1.5072463768115942,9.579710144927537,0.5,30,244,7,896,25,31,9,8,0,12,30,0,40,1,0,5,8,21,2,0,20,0,0,3.12,3.88,1.12,1.0,0.0,1.5,3.75,0.0,5.0,0.12,0.0,0.62,1.0,1.75,0.25,0.0,2.5,0.0,0.75
83.36,8.6,4.9,6.83,5.9,6.28,25,5.875,7.93,6.0,1.0986547085201794,8,0.13333333333333333,2,1081,199,5.432160804020101,15,13.266666666666667,1.452054794520548,8.575342465753424,0.4732142857142857,24,249,11,883,15,19,13,16,0,5,33,0,37,1,4,17,0,25,8,0,31,0,1,0.94,1.19,0.81,1.0,0.0,0.31,2.06,0.0,2.31,0.06,0.25,1.06,0.0,0.62,0.5,0.0,1.94,0.0,0.88
89.58,6.4,4.6,6.09,5.9,5.42,12,7.666666666666666,7.06,6.0,1.2638888888888888,9,0.3333333333333333,4,967,181,5.342541436464089,12,15.083333333333334,1.6724137931034482,9.60344827586207,0.47317073170731705,11,217,3,787,16,27,12,11,0,8,25,0,35,0,5,17,7,28,3,0,23,0,0,1.33,2.25,1.0,0.92,0.0,0.67,2.08,0.0,2.92,0.0,0.42,1.42,0.58,1.42,0.25,0.0,1.92,0.0,0.83
61.94,8.8,13.2,7.38,15.6,6.81,16,13.25,14.69,9.0,1.0515463917525774,9,0.6666666666666666,4,902,172,5.244186046511628,6,28.666666666666668,1.5740740740740742,9.055555555555555,0.4473684210526316,6,205,4,731,12,16,15,19,0,7,26,0,24,0,7,16,3,19,8,0,22,0,1,2.0,2.67,2.5,3.17,0.0,1.17,4.33,0.0,4.17,0.0,1.17,2.67,0.33,2.5,1.33,0.0,3.67,0.0,0.67
81.63,7.2,5.6,5.79,5.6,6.4,23,5.75,7.11,6.0,1.0591133004926108,9,0.5,6,936,179,5.229050279329609,12,14.916666666666666,1.5344827586206897,8.5,0.4405940594059406,21,213,5,758,11,17,10,12,0,14,20,0,26,3,6,24,6,24,5,0,26,0,2,0.85,1.31,0.69,0.92,0.0,1.08,1.54,0.0,2.0,0.23,0.46,1.85,0.46,0.92,0.46,0.0,2.0,0.0,0.85
15.49,0.0,33.1,7.57,42.1,9.01,11,27.0,36.3,0.0,1.5235602094240839,14,2.5,5,914,177,5.163841807909605,2,88.5,1.4363636363636363,8.309090909090909,0.4114583333333333,14,203,2,738,14,20,16,12,0,15,30,0,26,0,2,12,7,15,4,0,19,0,0,4.67,6.67,5.33,4.0,0.0,5.0,10.0,0.0,8.67,0.0,0.67,4.0,2.33,4.33,1.33,0.0,6.33,0.0,0.33
66.2,12.2,11.5,8.19,14.1,6.44,15,19.666666666666668,13.63,12.0,1.4134615384615385,11,1.8333333333333333,11,976,181,5.392265193370166,6,30.166666666666668,1.5084745762711864,8.813559322033898,0.4427860696517413,15,224,9,796,11,22,15,14,0,4,27,0,23,3,10,17,7,21,7,0,27,0,1,1.57,3.14,2.14,2.0,0.0,0.57,3.86,0.0,3.29,0.43,1.43,2.43,1.0,2.14,1.0,0.0,3.86,0.0,0.86
74.02,8.1,8.5,7.38,9.9,6.51,20,10.8,9.89,7.0,1.029126213592233,7,1.0,8,957,177,5.406779661016949,8,22.125,1.55,9.016666666666667,0.46733668341708545,18,211,5,781,10,21,11,16,0,10,26,0,34,2,8,12,11,21,6,0,19,0,1,1.11,2.33,1.22,1.78,0.0,1.11,2.89,0.0,3.78,0.22,0.89,1.33,1.22,1.44,0.67,0.0,2.11,0.0,0.78
78.42,7.8,8.9,5.29,10.1,2.01,7,18.0,11.1,9.0,1.0054347826086956,11,0.5,3,790,155,5.096774193548387,6,25.833333333333332,1.3888888888888888,7.555555555555555,0.423728813559322,9,186,3,636,9,16,10,7,0,14,23,0,28,2,5,17,3,24,4,0,23,0,0,1.29,2.29,1.43,1.0,0.0,2.0,3.29,0.0,4.0,0.29,0.71,2.43,0.43,2.57,0.57,0.0,3.29,0.0,0.71
43.7,9.7,22.2,7.68,28.5,7.69,12,27.0,24.94,8.0,1.398989898989899,14,1.3333333333333333,4,954,182,5.241758241758242,3,60.666666666666664,1.3278688524590163,7.934426229508197,0.40703517587939697,12,209,3,773,6,28,10,8,0,9,33,0,33,0,1,17,10,17,5,0,22,0,0,1.5,7.0,2.5,2.0,0.0,2.25,8.25,0.0,8.25,0.0,0.25,4.25,2.5,3.5,1.25,0.0,5.5,0.0,0.5
80.04,8.1,8.3,6.45,10.2,6.14,16,13.25,10.97,6.0,1.2374429223744292,9,0.625,5,1021,197,5.182741116751269,8,24.625,1.5555555555555556,8.777777777777779,0.4537037037037037,21,228,4,825,19,24,17,10,0,12,33,0,40,1,3,9,5,21,3,0,23,0,1,2.38,3.0,2.12,1.25,0.0,1.5,4.12,0.0,5.0,0.12,0.38,1.12,0.62,1.75,0.38,0.0,2.88,0.0,0.75
60.79,12.7,11.5,10.62,14.8,8.09,32,15.75,13.82,12.0,1.12707182320442,9,0.6666666666666666,4,956,162,5.901234567901234,6,27.0,1.5686274509803921,10.823529411764707,0.4444444444444444,30,220,13,795,12,19,7,9,0,8,28,0,31,3,2,15,1,19,9,0,19,0,1,1.71,2.71,1.0,1.29,0.0,1.14,4.14,0.0,4.43,0.43,0.29,2.0,0.14,1.86,1.29,0.0,2.71,0.0,0.71
59.26,13.0,12.1,10.28,15.0,7.81,30,16.0,14.74,15.0,1.2,7,3.8333333333333335,23,993,171,5.807017543859649,6,28.5,1.6271186440677967,10.23728813559322,0.49740932642487046,37,231,16,823,20,21,7,12,0,9,27,0,29,6,4,7,16,23,4,0,11,0,2,2.86,3.0,1.0,1.71,0.0,1.29,3.86,0.0,4.14,0.86,0.57,1.0,2.29,2.43,0.57,0.0,1.57,0.0,0.71
76.96,9.5,7.4,8.07,9.3,6.92,23,11.2,10.13,7.0,0.9147727272727273,8,0.875,7,862,157,5.490445859872612,9,17.444444444444443,1.471698113207547,9.132075471698114,0.44571428571428573,22,202,8,706,11,17,11,12,0,6,19,0,21,0,5,17,9,18,7,0,22,0,2,1.1,1.7,1.1,1.2,0.0,0.6,1.9,0.0,2.1,0.0,0.5,1.7,0.9,1.1,0.7,0.0,2.2,0.0,0.8
72.8,9.3,9.0,10.16,12.7,7.37,23,13.75,10.89,9.0,1.0822784810126582,7,1.3333333333333333,8,823,141,5.836879432624113,6,23.5,1.6666666666666667,10.416666666666666,0.5095541401273885,24,182,5,683,8,17,8,7,0,6,17,0,27,6,4,12,1,17,6,0,23,0,1,1.14,2.43,1.14,1.0,0.0,0.86,2.43,0.0,3.86,0.86,0.57,1.71,0.14,1.57,0.86,0.0,3.29,0.0,0.71
71.58,9.6,9.5,7.09,10.8,6.87,22,11.2,11.34,10.0,1.2474226804123711,8,0.7142857142857143,5,915,173,5.289017341040463,7,24.714285714285715,1.456140350877193,8.578947368421053,0.4322916666666667,20,212,5,743,17,17,7,11,0,10,33,0,33,0,8,10,2,20,4,0,22,0,1,2.12,2.12,0.88,1.38,0.0,1.25,4.12,0.0,4.12,0.0,1.0,1.25,0.25,1.75,0.5,0.0,2.75,0.0,0.75
36.97,11.9,22.8,7.79,27.9,7.9,15,25.5,24.5,8.0,1.263681592039801,9,3.6666666666666665,11,937,175,5.354285714285714,4,43.75,1.4098360655737705,8.065573770491802,0.43434343434343436,16,209,4,763,12,23,9,12,0,9,32,0,39,1,6,10,5,22,3,0,19,0,1,2.4,4.6,2.0,2.4,0.0,1.8,6.2,0.0,7.6,0.2,1.2,2.2,1.0,3.6,0.6,0.0,3.8,0.0,0.6
75.44,9.8,8.0,8.24,10.3,7.02,25,8.666666666666666,10.33,8.0,1.0569948186528497,8,0.0,0,937,169,5.544378698224852,11,15.363636363636363,1.5166666666666666,8.95,0.4742268041237113,29,219,9,769,7,14,11,15,0,10,23,0,27,0,4,23,2,24,2,0,32,0,2,0.64,1.27,1.0,1.36,0.0,0.91,2.09,0.0,2.45,0.0,0.36,2.09,0.18,1.27,0.18,0.0,2.91,0.0,0.82
83.49,3.1,7.0,6.73,9.1,6.26,17,7.333333333333334,8.6,7.0,1.035175879396985,7,1.0,8,909,172,5.284883720930233,8,21.5,1.4516129032258065,7.82258064516129,0.45454545454545453,15,197,0,738,3,14,17,11,0,12,16,0,22,2,3,22,9,27,11,0,31,0,2,0.33,1.67,1.78,1.22,0.0,1.33,1.78,0.0,2.44,0.22,0.33,2.44,1.0,2.11,1.22,0.0,3.44,0.0,0.78
86.74,5.8,5.7,5.28,6.5,1.48,6,7.5,7.8,6.0,1.13903743315508,9,0.18181818181818182,2,832,164,5.073170731707317,11,14.909090909090908,1.5344827586206897,7.603448275862069,0.4635416666666667,5,188,2,669,15,21,23,6,0,7,23,0,26,3,8,14,0,25,1,0,18,0,0,1.36,1.91,2.09,0.55,0.0,0.64,2.09,0.0,2.36,0.27,0.73,1.27,0.0,1.36,0.09,0.0,1.64,0.0,0.64
63.7,3.1,14.6,6.69,18.4,7.02,14,16.666666666666668,16.4,7.0,1.153061224489796,9,1.25,5,848,163,5.2024539877300615,9,18.11111111111111,1.7358490566037736,8.830188679245284,0.4717948717948718,18,185,0,686,8,19,15,9,0,8,21,0,21,0,6,19,7,29,8,0,27,0,4,1.0,2.38,1.88,1.12,0.0,1.0,2.62,0.0,2.75,0.0,0.75,2.38,0.75,2.75,1.0,0.0,3.38,0.0,0.75
68.13,9.2,10.8,7.32,12.8,6.87,23,17.666666666666668,12.13,7.0,0.9213973799126638,9,1.875,15,1060,198,5.353535353535354,9,22.0,1.5571428571428572,8.857142857142858,0.4759825327510917,24,247,8,863,14,21,16,16,0,7,21,0,22,1,10,20,20,29,2,0,30,0,2,1.56,2.33,1.78,1.78,0.0,0.78,2.33,0.0,2.44,0.11,1.11,2.22,2.22,2.44,0.22,0.0,3.33,0.0,0.78
58.55,13.7,12.4,8.83,14.2,7.57,23,14.5,15.57,14.0,1.135483870967742,8,1.2,6,802,147,5.45578231292517,5,29.4,1.6521739130434783,10.369565217391305,0.48717948717948717,23,197,14,656,15,20,2,8,0,7,23,0,34,2,4,11,3,8,1,0,18,0,1,2.5,3.33,0.33,1.33,0.0,1.17,3.83,0.0,5.67,0.33,0.67,1.83,0.5,0.5,0.17,0.0,3.0,0.0,0.67
80.65,7.2,8.0,7.38,10.9,5.71,8,10.2,9.99,8.0,1.1939393939393939,9,0.7142857142857143,5,778,145,5.36551724137931,8,18.125,1.6,9.088888888888889,0.43636363636363634,4,171,3,634,8,20,6,5,0,6,30,0,27,0,3,14,6,21,3,0,18,0,2,0.89,2.22,0.67,0.56,0.0,0.67,3.33,0.0,3.0,0.0,0.33,1.56,0.67,1.44,0.33,0.0,2.0,0.0,0.67
88.16,6.9,5.2,4.87,5.8,5.41,9,6.571428571428571,7.29,6.0,1.0481283422459893,8,0.4444444444444444,4,774,152,5.092105263157895,11,13.818181818181818,1.3650793650793651,6.650793650793651,0.45989304812834225,9,171,3,623,0,9,12,7,0,5,34,0,26,1,8,14,6,34,2,0,29,0,3,0.0,0.9,1.2,0.7,0.0,0.5,3.4,0.0,2.5,0.2,0.8,1.4,0.6,2.5,0.2,0.0,2.9,0.0,0.9
56.29,8.1,17.4,5.65,21.2,2.97,7,17.0,19.53,17.0,1.0346320346320346,9,1.3333333333333333,8,965,193,5.0,11,17.545454545454547,1.6666666666666667,7.63768115942029,0.4956896551724138,2,216,1,773,11,15,20,15,0,11,34,0,34,3,3,15,0,38,3,0,30,0,4,1.3,1.5,1.8,1.5,0.0,1.1,3.4,0.0,3.4,0.3,0.3,1.5,0.0,2.9,0.3,0.0,3.0,0.0,0.8
89.82,6.0,6.6,4.82,8.8,1.5,4,7.5,9.65,6.0,0.8297872340425532,7,0.2222222222222222,2,941,185,5.0864864864864865,13,14.23076923076923,1.4933333333333334,7.16,0.4977973568281938,6,207,1,757,15,14,14,12,0,7,24,1,35,1,7,21,0,46,4,0,34,0,3,1.33,1.17,1.17,1.0,0.0,0.58,2.0,0.08,2.83,0.08,0.58,1.75,0.0,2.92,0.33,0.0,2.83,0.0,0.92
83.7,3.1,6.9,5.75,8.2,1.69,6,9.0,8.52,9.0,1.1420118343195267,10,0.25,2,760,149,5.100671140939597,8,18.625,1.4705882352941178,7.294117647058823,0.4411764705882353,9,168,0,612,5,18,11,8,0,10,28,0,29,0,1,12,3,21,3,0,21,0,1,0.56,2.0,1.22,0.89,0.0,1.11,3.11,0.0,3.22,0.0,0.11,1.33,0.33,1.44,0.33,0.0,2.33,0.0,0.78
83.09,6.9,7.1,4.88,8.2,1.71,6,13.0,9.02,7.0,1.011049723756906,8,0.0,0,767,153,5.0130718954248366,12,12.75,1.3636363636363635,6.545454545454546,0.4076086956521739,5,173,3,615,8,24,9,10,0,8,19,1,21,0,3,23,1,31,4,0,22,0,0,0.8,2.4,0.9,1.0,0.0,0.8,1.9,0.1,2.1,0.0,0.3,2.3,0.1,2.2,0.4,0.0,2.2,0.0,0.6
73.65,6.7,10.7,6.57,13.3,2.26,7,12.75,12.74,7.0,1.2117647058823529,10,0.0,0,796,156,5.102564102564102,7,22.285714285714285,1.5769230769230769,8.461538461538462,0.47953216374269003,3,177,2,641,18,9,21,12,0,9,19,0,20,0,5,15,0,15,2,0,26,0,1,2.57,1.29,3.0,1.71,0.0,1.29,2.71,0.0,2.86,0.0,0.71,2.14,0.0,1.29,0.29,0.0,3.71,0.0,0.71
97.33,3.1,3.7,3.71,4.4,1.13,3,6.142857142857143,6.48,4.0,1.006060606060606,6,0.2222222222222222,2,701,146,4.801369863013699,11,13.272727272727273,1.4107142857142858,6.660714285714286,0.4819277108433735,6,156,0,556,9,15,8,10,0,7,19,0,22,0,3,17,2,20,5,0,29,0,1,0.9,1.6,0.7,1.0,0.0,0.7,1.9,0.0,2.2,0.0,0.3,1.7,0.2,1.1,0.5,0.0,2.9,0.0,0.8
86.54,6.7,5.8,6.62,7.5,5.49,11,7.833333333333334,8.05,8.0,1.2727272727272727,9,0.5,5,959,184,5.211956521739131,10,18.4,1.4461538461538461,8.338461538461539,0.47715736040609136,17,215,4,776,17,17,13,13,0,11,17,0,29,3,8,21,4,14,10,0,22,0,1,1.55,1.55,1.18,1.18,0.0,1.0,1.55,0.0,2.64,0.27,0.73,1.91,0.36,0.36,0.91,0.0,2.0,0.0,0.82
78.08,9.1,7.0,7.72,8.4,6.18,19,8.666666666666666,9.78,7.0,1.244019138755981,9,0.6,6,1007,185,5.443243243243243,10,18.5,1.6666666666666667,9.883333333333333,0.48095238095238096,21,225,9,823,13,19,10,23,0,5,24,0,36,0,9,15,4,24,1,0,27,0,1,1.18,1.73,0.91,2.09,0.0,0.45,2.18,0.0,3.18,0.0,0.82,1.36,0.36,1.27,0.09,0.0,2.55,0.0,0.82
81.83,8.8,5.5,7.53,7.3,7.04,25,7.2857142857142865,8.35,8.0,1.1111111111111112,7,0.4,4,820,147,5.578231292517007,12,12.25,1.8,10.42,0.5290697674418605,29,187,7,674,10,18,6,6,0,8,15,0,22,0,11,19,4,19,2,0,32,0,1,0.77,1.38,0.46,0.46,0.0,0.62,1.15,0.0,1.62,0.0,0.85,1.46,0.38,0.54,0.15,0.0,2.46,0.0,0.85
86.94,6.4,5.6,6.2,7.3,5.41,9,7.666666666666666,7.73,6.0,1.3297297297297297,11,0.2222222222222222,2,850,163,5.214723926380368,9,18.11111111111111,1.4035087719298245,7.649122807017544,0.43956043956043955,10,189,2,688,9,21,13,8,0,7,22,0,21,0,2,28,3,20,4,0,28,0,2,1.0,2.1,1.2,0.8,0.0,0.7,2.2,0.0,2.1,0.0,0.2,2.8,0.3,1.1,0.4,0.0,2.8,0.0,0.8
63.22,11.7,10.6,8.83,12.1,6.94,26,18.333333333333332,12.75,9.0,1.190909090909091,10,1.25,10,1101,197,5.588832487309645,8,24.625,1.5970149253731343,10.014925373134329,0.4885844748858447,23,266,13,905,16,20,9,11,0,6,39,0,46,1,4,12,4,22,6,0,25,0,1,1.78,2.22,1.0,1.22,0.0,0.67,4.33,0.0,5.0,0.22,0.44,1.33,0.44,1.56,0.67,0.0,2.78,0.0,0.78
69.96,9.7,10.1,6.56,11.4,7.04,21,13.5,12.11,10.0,1.1842105263157894,9,0.8333333333333334,5,832,157,5.2993630573248405,9,17.444444444444443,1.4827586206896552,8.39655172413793,0.47282608695652173,25,194,5,684,12,19,3,9,0,8,27,0,38,1,5,11,7,27,1,0,20,0,4,1.33,2.11,0.33,1.0,0.0,0.89,3.0,0.0,4.33,0.11,0.56,1.22,0.67,2.33,0.11,0.0,2.22,0.0,0.89
-57.77,0.0,57.1,10.06,72.5,13.52,25,54.0,59.54,0.0,1.0914285714285714,9,7.0,14,820,144,5.694444444444445,6,24.0,1.5740740740740742,8.981481481481481,0.5029239766081871,26,184,4,677,6,25,4,10,0,4,24,0,27,2,2,11,14,26,3,0,17,0,3,1.0,4.17,0.67,1.67,0.0,0.67,4.0,0.0,4.5,0.33,0.33,1.83,2.33,3.5,0.5,0.0,2.83,0.0,0.83
73.34,7.8,10.9,4.77,11.9,2.15,7,13.0,13.23,13.0,0.8578199052132701,7,0.5,3,910,184,4.945652173913044,6,30.666666666666668,1.3484848484848484,6.954545454545454,0.4238095238095238,7,214,2,727,13,20,19,14,0,10,21,0,28,0,7,21,3,25,5,0,26,0,0,1.86,2.86,2.71,2.0,0.0,1.43,3.0,0.0,4.0,0.0,1.0,3.0,0.43,2.71,0.71,0.0,3.71,0.0,0.71
68.7,10.0,8.5,8.18,9.2,6.76,24,8.5,10.27,9.0,1.6031746031746033,10,0.3333333333333333,3,957,174,5.5,9,19.333333333333332,1.390625,8.609375,0.4734042553191489,27,225,10,784,13,23,7,13,0,7,27,0,38,1,6,11,4,15,7,0,18,0,1,1.3,2.3,0.7,1.3,0.0,0.7,2.7,0.0,3.8,0.1,0.6,1.1,0.4,0.6,0.7,0.0,1.8,0.0,0.8
58.76,12.7,12.3,10.46,15.5,8.44,31,11.8,15.24,12.0,1.7975460122699387,13,2.0,10,845,145,5.827586206896552,7,20.714285714285715,1.6470588235294117,10.176470588235293,0.5185185185185185,32,195,12,701,7,17,12,8,0,5,23,0,24,0,2,10,11,17,0,0,28,0,1,1.0,2.43,1.57,1.14,0.0,0.71,3.29,0.0,3.57,0.0,0.29,1.43,1.57,1.57,0.0,0.0,4.0,0.0,0.71
65.15,12.2,9.9,10.22,12.4,7.79,35,14.25,12.66,13.0,1.68,13,1.375,11,1059,182,5.818681318681318,8,22.75,1.746031746031746,10.73015873015873,0.5472636815920398,41,238,14,878,12,22,11,17,0,7,24,0,33,4,2,2,20,17,6,0,24,0,2,1.22,2.44,1.33,1.89,0.0,0.78,2.67,0.0,3.89,0.44,0.22,0.22,1.89,1.0,0.67,0.0,2.78,0.0,0.78
74.42,8.8,8.4,8.7,11.1,6.77,20,8.5,10.13,9.0,1.3275862068965518,9,1.1428571428571428,8,868,155,5.6,9,17.22222222222222,1.6379310344827587,9.448275862068966,0.5428571428571428,23,189,4,714,8,26,7,7,0,1,28,0,39,3,3,2,5,18,4,0,24,0,2,0.89,2.89,0.78,0.78,0.0,0.11,3.11,0.0,4.33,0.33,0.33,0.22,0.56,1.11,0.44,0.0,2.67,0.0,0.78
85.22,8.2,6.3,5.63,7.6,5.68,12,8.0,9.04,6.0,0.8899521531100478,8,0.5555555555555556,5,911,177,5.146892655367232,11,16.09090909090909,1.2923076923076924,6.661538461538462,0.40384615384615385,16,206,6,735,11,16,13,17,0,8,19,0,21,0,10,30,5,27,4,0,29,0,1,0.92,1.33,1.08,1.42,0.0,0.67,1.58,0.0,1.75,0.0,0.83,2.5,0.42,1.33,0.33,0.0,2.42,0.0,0.83
73.81,9.2,8.6,7.43,10.0,6.45,17,10.6,10.09,10.0,0.9834254143646409,8,1.1428571428571428,8,851,159,5.352201257861635,7,22.714285714285715,1.2459016393442623,7.229508196721311,0.4175824175824176,19,190,6,693,4,20,17,11,0,7,24,0,29,2,2,11,3,23,6,0,23,0,0,0.5,2.5,2.12,1.38,0.0,0.88,3.0,0.0,3.62,0.25,0.25,1.38,0.38,2.0,0.75,0.0,2.88,0.0,0.75
87.35,7.0,5.5,5.51,6.5,5.49,12,10.8,7.49,6.0,1.0434782608695652,8,0.18181818181818182,2,1005,193,5.2072538860103625,12,16.083333333333332,1.3194444444444444,7.069444444444445,0.4185022026431718,10,222,2,813,14,25,21,11,0,7,27,3,29,1,6,19,0,35,5,0,28,0,0,1.27,2.27,1.82,1.0,0.0,0.64,2.45,0.27,2.64,0.09,0.55,1.73,0.09,2.27,0.45,0.0,2.55,0.0,0.82
